Progeny Sire Dam
837 654 428
838 654 457
839 569 408
840 569 254
841 569 254
842 569 420
843 569 631
844 569 599
845 548 343
846 548 389
847 548 705
848 548 737
849 548 731
850 722 314
851 722 582
852 722 305
853 722 370
854 722 362
855 447 653
856 447 361
857 447 458
858 447 542
859 447 543
860 654 818
861 654 835
862 654 572
863 654 831
864 654 853
865 827 832
866 827 688
867 827 565
868 827 605
869 827 698
870 811 467
871 811 826
872 811 429
873 811 429
874 811 497
875 811 729
876 802 631
877 802 496
878 802 660
879 802 414
880 802 737
881 693 372
882 693 791
883 693 733
884 693 653
885 693 361
886 686 408
887 686 519
888 686 370
889 686 402
890 686 774
891 581 513
892 581 362
893 581 682
894 581 739
895 581 580
896 722 727
897 722 705
898 722 363
899 722 731
900 722 847
901 642 610
902 642 846
903 642 510
904 642 718
905 642 629
906 666 439
907 666 658
908 666 582
909 666 815
910 666 490
911 856 345
912 856 420
913 856 842
914 856 769
915 856 781
916 856 781
917 799 499
918 799 637
919 799 541
920 799 851
921 799 627
922 649 520
923 649 520
924 649 650
925 649 443
926 649 742
927 649 644
928 786 681
929 786 770
930 786 542
931 786 343
932 786 483
933 585 599
934 585 389
935 585 745
936 585 392
937 585 771
938 736 332
939 736 555
940 736 647
941 736 625
942 736 428
943 794 670
944 794 590
945 794 778
946 794 495
947 794 528
948 708 779
949 708 391
950 708 586
951 708 518
952 708 367
953 557 458
954 557 436
955 557 784
956 557 566
957 557 566
958 557 536
959 854 498
960 854 415
961 854 457
962 854 543
963 854 543
964 854 351
965 935 737
966 935 497
967 935 658
968 935 842
969 935 566
970 794 939
971 794 939
972 794 629
973 794 536
974 794 572
975 794 580
976 891 443
977 891 771
978 891 582
979 891 778
980 891 670
981 856 876
982 856 867
983 856 698
984 856 900
985 856 483
986 666 729
987 666 933
988 666 644
989 666 947
990 666 874
991 786 779
992 786 590
993 786 590
994 786 925
995 786 880
996 786 541
997 736 907
998 736 439
999 736 774
1000 736 520
1001 736 495
1002 649 637
1003 649 832
1004 649 542
1005 649 739
1006 649 499
1007 802 853
1008 802 718
1009 802 815
1010 802 847
1011 802 496
1012 827 742
1013 827 653
1014 827 733
1015 827 625
1016 827 791
1017 864 631
1018 864 631
1019 864 528
1020 864 899
1021 864 660
1022 864 781
1023 882 851
1024 882 818
1025 882 917
1026 882 917
1027 882 846
1028 882 555
1029 882 555
1030 910 610
1031 910 688
1032 910 605
1033 910 650
1034 910 627
1035 902 705
1036 902 467
1037 902 513
1038 902 565
1039 902 458
1040 693 953
1041 693 953
1042 693 490
1043 693 784
1044 693 835
1045 693 519
1046 854 769
1047 854 826
1048 854 457
1049 854 770
1050 854 889
1051 799 831
1052 799 861
1053 799 955
1054 799 681
1055 799 647
1056 920 918
1057 920 745
1058 920 518
1059 920 727
1060 920 586
1061 811 510
1062 811 956
1063 811 543
1064 811 599
1065 811 941
1066 868 436
1067 868 682
1068 868 498
1069 868 731
1070 868 872
1071 1026 742
1072 1026 653
1073 1026 861
1074 1026 688
1075 1026 1064
1076 868 872
1077 868 1069
1078 868 739
1079 868 917
1080 868 784
1081 1049 997
1082 1049 853
1083 1049 990
1084 1049 670
1085 1049 1012
1086 986 953
1087 986 718
1088 986 781
1089 986 989
1090 986 644
1091 794 660
1092 794 774
1093 794 815
1094 794 745
1095 794 631
1096 854 779
1097 854 778
1098 854 939
1099 854 572
1100 854 727
1101 1008 586
